Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Livin' la Vida Loca,Ricky Martin,79,178,"latin pop, latin","Latin, Pop",04:03,43,95,0,0,93,0,0,-4,C♯/D♭ minor,4,12A,Ricky Martin,Livin' la Vida Loca
Break Me Down,Rockstarliiife,8,103,,,02:32,48,70,0,0,35,0,10,-9,D#/E♭ minor,4,2A,Rockstarliiife,Break Me Down
Torn,Natalie Imbruglia,82,96,,,04:04,57,89,6,0,61,0,70,-5,F,4,7B,Natalie Imbruglia,Torn
House of the Acid Moon,Disintegration C.E.,21,126,,,05:06,82,74,11,0,88,10,20,-8,F#/G♭,4,2B,Disintegration C.E.,House of the Acid Moon
I Have Nothing,Whitney Houston,79,153,,,04:49,54,40,58,0,24,0,10,-10,C,3,8B,Whitney Houston,I Have Nothing
Say My Name,Destiny's Child,81,138,,,04:31,71,68,27,0,73,10,10,-4,F minor,4,4A,Destiny's Child,Say My Name
Rumor Is,4NRhythm,21,192,kuduro,Electronic,03:25,52,36,58,0,50,10,10,-11,G#/A♭ minor,4,1A,4NRhythm,Rumor Is
Losing My Religion,R.E.M.,87,126,"jangle pop, alternative rock, rock","Rock, Pop",04:28,67,86,18,0,80,0,10,-5,A minor,4,8A,R.E.M.,Losing My Religion
Electric Hearts,Fabian Starr,14,128,,,03:19,62,62,1,0,52,0,10,-9,C♯/D♭,4,3B,Fabian Starr,Electric Hearts
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,81,108,,,03:45,73,85,4,0,61,0,20,-4,A#/B♭ minor,4,3A,Backstreet Boys,Everybody (Backstreet's Back)
They Don't Care About Us,Michael Jackson,78,90,,,04:44,86,91,21,1,73,10,30,-6,C minor,4,5A,Michael Jackson,They Don't Care About Us
Freedom! '90 - Remastered,George Michael,61,92,,,06:30,68,85,23,0,93,0,0,-11,F,4,7B,George Michael,Freedom! '90
Don't Speak,No Doubt,4,76,,,04:23,52,71,24,0,57,0,10,-7,F minor,4,4A,No Doubt,Don't Speak
Bitter Sweet Symphony,The Verve,5,171,"britpop, shoegaze","Pop, Rock",05:57,36,91,3,0,50,0,40,-6,A,4,11B,The Verve,Bitter Sweet Symphony
Too Fast For Love,The Wood Floors,7,140,,,01:37,34,91,0,0,93,0,0,-6,F#/G♭,4,2B,The Wood Floors,Too Fast For Love
It's My Life,Dr. Alban,7,129,eurodance,"Electronic, Pop",03:59,66,93,0,4,47,0,10,-8,G,4,9B,Dr. Alban,It's My Life
GEMINI,Rub!xmusic,4,100,,,02:53,78,80,21,0,57,10,20,-6,G,4,9B,Rub!xmusic,GEMINI
Don't Look Back in Anger - Remastered,Oasis,77,163,"britpop, madchester, rock","Pop, Rock",04:49,33,94,7,0,33,0,10,-3,C,4,8B,Oasis,Don't Look Back in Anger
No Scrubs,TLC,84,93,,,03:34,74,68,3,0,59,10,0,-4,G#/A♭ minor,4,1A,TLC,No Scrubs
void,roby,13,140,dark ambient,"Electronic, New Age",02:44,33,53,6,95,10,0,20,-15,F#/G♭ minor,4,11A,roby,void
Back for Good - Radio Mix,Take That,1,79,,,04:02,60,50,31,0,56,0,10,-10,F,4,7B,Take That,Back for Good
SMART LIKE A SNAKE,"Stteffen Kraus,Paulo Zgraia",26,108,,,02:47,32,92,8,0,43,0,20,-2,E minor,4,9A,Stteffen Kraus,SMART LIKE A SNAKE
Don't Let the Sun Go Down on Me,"George Michael,Elton John",70,135,,,05:46,44,55,49,0,26,0,50,-8,C,4,8B,George Michael,Don't Let the Sun Go Down on Me
One,U2,78,181,rock,Rock,04:36,39,53,25,0,33,0,10,-9,C,4,8B,U2,One
Shell Shock,Shovelhead A.D.,13,96,"speed metal, groove metal",Metal,05:37,23,82,0,87,58,0,30,-12,F,4,7B,Shovelhead A.D.,Shell Shock
Without You,Mariah Carey,2,122,christmas,Pop,03:33,58,53,32,0,15,0,0,-9,F#/G♭,4,2B,Mariah Carey,Without You
Requiem,Herr Schoen,14,111,,,03:02,32,14,57,0,4,0,10,-12,G,4,9B,Herr Schoen,Requiem
Two Princes,Spin Doctors,38,104,,,04:16,54,94,0,0,81,0,0,-8,G,4,9B,Spin Doctors,Two Princes
I Try,Macy Gray,77,76,,,03:59,59,64,31,0,74,0,0,-7,D,4,10B,Macy Gray,I Try
I Speak Jesus - Cover,"Rhonda,Micah",0,74,,,05:35,45,48,63,0,7,0,10,-7,E,4,12B,Rhonda,I Speak Jesus
I've Been Thinking About You,Londonbeat,69,114,eurodance,"Electronic, Pop",03:50,68,66,2,0,90,0,0,-13,B minor,4,10A,Londonbeat,I've Been Thinking About You
Flames,Age of High,22,135,,,02:43,56,53,1,4,18,0,10,-12,G minor,4,6A,Age of High,Flames
Truly Madly Deeply,Savage Garden,0,168,,,04:39,57,71,43,0,78,0,10,-8,C,4,8B,Savage Garden,Truly Madly Deeply
Nothing Compares 2 U,Sinéad O'Connor,2,120,,,04:40,51,57,4,0,16,0,10,-7,F,4,7B,Sinéad O'Connor,Nothing Compares 2 U
Eating a Reuben Alone in a DMV Bathroom,Sipul,16,152,,,04:38,30,70,0,10,72,0,30,-13,G,4,9B,Sipul,Eating a Reuben Alone in a DMV Bathroom
Waiting for Tonight,Jennifer Lopez,70,125,,,04:06,70,95,0,7,84,0,10,-6,A#/B♭ minor,4,3A,Jennifer Lopez,Waiting for Tonight
The Rhythm of the Night,Corona,75,128,eurodance,"Electronic, Pop",04:24,69,81,0,74,80,0,10,-12,F minor,4,4A,Corona,The Rhythm of the Night
Miami,Will Smith,78,108,,,03:17,88,53,3,0,89,10,0,-6,C♯/D♭,4,3B,Will Smith,Miami
Here With Me,Dido,71,83,,,04:15,56,58,11,0,33,0,0,-8,B minor,4,10A,Dido,Here With Me
Liars and Thieves,Paul Hutchinson,4,135,,,04:34,62,75,2,0,51,0,10,-10,C♯/D♭,4,3B,Paul Hutchinson,Liars and Thieves
"Fastlove, Pt. 1",George Michael,69,104,,,05:24,74,64,5,0,55,0,30,-8,A#/B♭ minor,4,3A,George Michael,"Fastlove, Pt. 1"
What Is Love - 7  Mix,Haddaway,10,124,eurodance,"Electronic, Pop",04:30,68,77,2,1,74,0,20,-8,G minor,4,6A,Haddaway,What Is Love
Parallelogram,Mr Sweet,21,79,,,05:42,64,52,37,0,57,0,10,-9,C♯/D♭,4,3B,Mr Sweet,Parallelogram
Heal the World,Michael Jackson,72,81,,,06:24,55,49,54,0,10,0,10,-8,A,4,11B,Michael Jackson,Heal the World
Lift Me Up,"GONE ASTRAY,Elle Vee",30,83,"melodic bass, future bass, dubstep",Electronic,03:01,41,69,1,0,20,0,40,-5,F,4,7B,GONE ASTRAY,Lift Me Up
Learn to Fly,Foo Fighters,78,136,"rock, post-grunge, alternative rock, grunge, modern rock",Rock,03:55,47,92,0,0,54,0,20,-4,E,4,12B,Foo Fighters,Learn to Fly
Genie in a Bottle,Christina Aguilera,1,176,,,03:37,63,80,21,0,91,10,10,-7,C♯/D♭,4,3B,Christina Aguilera,Genie in a Bottle
Smooth (feat. Rob Thomas),"Santana,Rob Thomas",73,116,,,04:54,61,92,16,0,96,0,30,-4,A,4,11B,Santana,Smooth (feat. Rob Thomas)
Back Drop,Dsplita,23,90,,,02:29,73,53,5,0,66,0,20,-9,A#/B♭ minor,4,3A,Dsplita,Back Drop
Where Do You Go,No Mercy,70,127,eurodance,"Electronic, Pop",04:32,73,83,3,12,96,0,0,-11,A#/B♭ minor,4,3A,No Mercy,Where Do You Go
A Girl Like You,Edwyn Collins,1,126,britpop,"Pop, Rock",03:56,62,78,2,0,53,0,40,-7,F minor,4,4A,Edwyn Collins,A Girl Like You
Woulda Came Back,Perry Michaels,34,116,,,02:12,67,62,51,0,57,0,0,-7,A,4,11B,Perry Michaels,Woulda Came Back
Mmm Mmm Mmm Mmm,Crash Test Dummies,68,93,,,03:55,58,57,25,0,37,0,0,-8,D#/E♭,4,5B,Crash Test Dummies,Mmm Mmm Mmm Mmm
Black or White,Michael Jackson,72,115,,,04:14,52,90,17,3,87,0,0,-4,A,4,11B,Michael Jackson,Black or White
If You Had My Love,Jennifer Lopez,0,94,,,04:26,68,63,6,0,81,0,10,-7,B minor,4,10A,Jennifer Lopez,If You Had My Love
Re-Birth - EP,Beth Gladen,18,120,,,05:48,62,67,2,21,59,0,0,-11,A minor,4,8A,Beth Gladen,Re-Birth
No More  I Love You's ,Annie Lennox,65,180,synthpop,"Electronic, Pop",04:51,37,57,52,0,23,0,10,-7,D#/E♭,4,5B,Annie Lennox,No More  I Love You's 
I Try!!!,Samara Davis,13,125,,,04:31,48,20,97,0,29,0,30,-16,D#/E♭ minor,4,2A,Samara Davis,I Try!!!
Tearin' up My Heart - Radio Edit,*NSYNC,69,110,,,03:29,69,92,0,0,75,0,30,-5,G,4,9B,*NSYNC,Tearin' up My Heart
