#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
622,"Sinking Ship","The Backseat Lovers",58,100,"","","When We Were Friends",2019-01-27,05:07,39,41,3,0,10,0,10,-12,B,4,2023-07-11,4ydzIb3mPmiSm30PIMIrq8,"The Backseat Lovers",1B,USL4Q1825577
623,"The Moment","Tame Impala",70,119,"indie, psychedelic pop","Pop, Rock","Currents",2015-07-17,04:15,55,83,0,10,45,0,0,-6,G,4,2023-07-11,1UYj8qTWjneZJDVjUMwMub,"Universal Music Australia Pty. Ltd.",9B,AUUM71500304
624,"Sleep Alone","Two Door Cinema Club",1,148,"indie","Pop, Rock","Beacon",2012-08-31,03:56,53,75,0,0,53,0,0,-5,C,4,2023-07-11,5nZTvs242o6FWluCfmZZAM,"Glassnote Entertainment Group LLC",8B,FRU701200089
625,"Something Good Can Work","Two Door Cinema Club",4,120,"indie","Pop, Rock","Tourist History",2010-02-17,02:44,65,83,1,0,64,0,10,-5,C,4,2023-07-11,59kNaCxnyX7Ezt1m6KxGLY,"Glassnote Entertainment Group LLC",8B,FRU700900101
626,"Blue Hair","TV Girl",85,136,"","","Death of a Party Girl",2018-05-08,03:37,75,72,55,5,88,0,20,-6,E,4,2023-07-11,39sDitIeCMrVX2QyXHY46t,"TV Girl",12B,USDY41861506
627,"Christmas Kids","Roar",6,152,"","","I Can't Handle Change",2010-03-14,02:15,43,75,1,11,56,0,40,-6,D,4,2023-07-11,40gk32E7YaTFoQwDIWv2SY,"Felt Forest Records",10B,USHM81020599
628,"Blue","The Happy Return",17,103,"surf rock","Rock","Blue",2020-04-20,02:50,66,71,76,0,74,0,10,-7,F minor,4,2023-07-11,0q1JcSU7jhqleiaa18fKw4,"The Happy Return",4A,TCAET2061692
629,"Spiderhead","Cage The Elephant",60,118,"modern rock","Rock","Melophobia",2013-10-08,03:42,54,95,1,0,55,0,10,-1,D,4,2023-07-11,5r5Lj2MkgwQJz6TaBdL865,"RCA Records Label",10B,USRC11301161
630,"Lamb's Wool","Foster The People",60,179,"","","Lamb's Wool",2020-05-22,04:36,43,61,11,0,23,0,10,-8,G#/A♭ minor,4,2023-07-11,7egu63DOhNpivWOpGtzqGS,"Foster The People",1A,QZES52088012
631,"Mess Is Mine","Vance Joy",7,108,"folk pop","Folk, Pop","Dream Your Life Away (Special Edition)",2014-09-08,03:43,60,72,5,3,27,0,10,-8,G,1,2023-07-11,29jtZGdgpE2lWm2mkIt6HS,"Atlantic Records",9B,USAT21402865
