#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
169,"Where Is The Love?","Black Eyed Peas",3,94,"","","Elephunk (International Version)",2003-01-01,04:32,84,69,10,0,83,10,10,-3,F,4,2022-02-06,0uqPG793dkDDN7sCUJJIVC,"Universal Music Group",7B,USIR10311862
170,"Candy Shop","50 Cent,Olivia",2,129,"east coast hip hop, ","Hip Hop","The Massacre",2005-03-03,03:28,61,59,3,0,80,40,30,-8,G,5,2022-02-06,2mpFm3f7QmdsVtSAIICEB7,"Interscope",9B,USIR10500072
171,"Good Time","Owl City,Carly Rae Jepsen",80,126,"","","The Midsummer Station",2012-08-17,03:25,56,87,2,0,68,10,30,-4,D#/E♭,4,2022-02-06,1kPpge9JDLpcj15qgrPbYX,"Universal Records",5B,USUM71206288
172,"Closer","Ne-Yo",73,126,"","","Year Of The Gentleman",2008-01-01,03:54,71,75,2,0,57,0,10,-6,E minor,4,2022-02-06,0GX5oOKtU0nnx5OkhenW2i,"Def Soul",9A,USUM70809378
173,"Party Rock Anthem","LMFAO,Lauren Bennett,GoonRock",63,130,"","","Sorry For Party Rocking",2011-01-01,04:22,75,74,2,0,36,10,20,-4,F minor,4,2022-02-13,1ve0SgTZkv3wdggJLqtBYU,"Will I Am / A&M",4A,USUM71100061
174,"Let Me Love You","Mario",77,95,"r&b","R&B","Turning Point",2004-03-15,04:09,69,59,18,0,62,0,10,-8,G minor,4,2022-02-25,7GaFYUqP2WdR4KTPk7cXoP,"J Records",6A,USJAY0400348
175,"Everybody Talks","Neon Trees",82,155,"","","Picture Show",2012-01-01,02:57,47,92,0,0,72,0,30,-4,G#/A♭,4,2022-02-25,2iUmqdfGZcHIhS3b9E9EWq,"Mercury Records",4B,USUM71119189
176,"Outnumbered","Dermot Kennedy",66,157,"","","Without Fear",2019-10-04,04:05,61,68,25,0,26,10,10,-6,C,4,2022-02-25,4Ta3PhWmY50ZLU1uhKFKPE,"Riggins Recording Limited",8B,USUG11901618
177,"She Doesn't Mind","Sean Paul",65,120,"dancehall","Reggae","Tomahawk Technique",2012-01-24,03:47,72,78,0,0,62,0,20,-5,G minor,4,2022-02-25,4S9zTd8Oj77G0WhHK3Apuk,"VP Records",6A,USAT21102329
178,"Waiting All Night (feat. Ella Eyre)","Rudimental,Ella Eyre",34,175,"","","Home (Deluxe Edition)",2013-04-29,04:52,54,73,0,1,28,0,40,-5,F#/G♭ minor,4,2022-02-27,1uWTlK72KKpzsCHhu62OV5,"Asylum",11A,GBAHS1200493
179,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",84,120,"","","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭,4,2022-03-01,3vkQ5DAB1qQMYO4Mr9zJN6,"Polar Music International AB",6B,SEAYD7901120
180,"You To Me Are Everything","The Real Thing",1,102,"","","Children of the Ghetto: The Pye Anthology",1999-01-01,03:29,64,91,23,0,82,10,0,-8,B minor,4,2022-03-06,0klZpFX0a84jdkqzPNrLQs,"Castle Communications",10A,GBAJE7600005
181,"Glad You Came","The Wanted",79,127,"","","Battleground (Deluxe Edition)",2011-01-01,03:17,72,85,3,0,45,0,10,-4,G minor,4,2022-03-11,5yDL13y5giogKs2fSNf7sj,"Universal-Island Records Ltd.",6A,GBUM71104495
182,"Everybody in Love","JLS",0,140,"","","JLS",2009-11-06,03:15,72,75,6,0,70,0,30,-7,F minor,4,2022-03-11,2OsqzlVFiUGbbYwIPTKTSW,"Epic",4A,GBARL0900733
183,"On The Floor","Jennifer Lopez,Pitbull",84,130,"","","Love?",2011-04-29,04:44,73,78,11,0,57,0,0,-5,D#/E♭ minor,4,2022-03-11,3C0nOe05EIt1390bVABLyN,"Nuyorican Productions / IDJ",2A,USUM71104034
184,"Earned It (Fifty Shades Of Grey)","The Weeknd",79,120,"","","The Highlights",2021-02-05,04:37,66,28,43,0,39,0,0,-8,D minor,3,2022-03-12,1cQ3LIkZE68pMSnPhZWXLu,"Universal Republic Records",7A,USUG11500923
185,"The Man Who Can't Be Moved","The Script",72,100,"","","The Script",2008-07-14,04:01,61,63,43,0,31,0,10,-5,A#/B♭,4,2022-03-16,4AFwnrH5atiJoAd5xS5QtR,"Phonogenic",6B,GBARL0800144
186,"Never Forget You","Zara Larsson,MNEK",58,146,"","","So Good",2017-03-17,03:33,58,73,0,0,28,0,20,-6,B minor,4,2022-03-21,6v4F5IaKUITBPzt2wztoiZ,"Epic/Record Company TEN",10A,SEWEE1500801
187,"Starving","Hailee Steinfeld,Grey,Zedd",76,100,"edm","Electronic","Starving",2016-07-22,03:01,73,62,38,0,51,0,10,-4,E,4,2022-03-21,4Ce37cRWvM1vIGGynKcs22,"Universal Records",12B,USUM71606370
188,"GREECE (feat. Drake)","DJ Khaled,Drake",71,86,"rap","Hip Hop","GREECE (feat. Drake)",2020-07-16,03:38,70,34,7,0,23,0,10,-11,F,4,2022-03-29,35RJhm1pEovTBwnNR0zWad,"OVO/We The Best/Epic",7B,USSM12004502
189,"Lost In Japan","Shawn Mendes",72,105,"","","Shawn Mendes",2018-05-25,03:21,71,74,26,0,42,30,10,-7,A#/B♭,4,2022-04-03,79esEXlqqmq0GPz0xQSZTV,"Island Records",6B,USUM71803548
190,"What I Did for Love (feat. Emeli Sandé)","David Guetta,Emeli Sandé",59,128,"edm, dance, ","Electronic","Listen",2014-11-10,03:27,49,72,11,0,36,0,10,-5,D,4,2022-04-07,1YRjRHdl0aEtzHEn1uGi8k,"Parlophone (France)",10B,GB28K1400044
191,"Angels","Robbie Williams",79,150,"","","Life Thru A Lens",1997-01-01,04:25,43,59,16,0,24,0,10,-6,E,4,2022-04-21,1M2nd8jNUkkwrc1dgBPTJz,"Universal-Island Records Ltd.",12B,GBAYE9700233
192,"Hold Back The River","James Bay",69,135,"","","Chaos And The Calm",2015-03-23,03:58,72,72,5,0,51,0,0,-7,F,4,2022-04-21,72FNf7DAlWLmuHiLTBcNHY,"Universal Records",7B,USUM71413733
193,"Fast Car","Jonas Blue,Dakota",70,114,"tropical house, ","Electronic","Fast Car",2015-12-04,03:32,64,57,48,0,53,0,30,-7,A,4,2022-04-22,2mCF8L0brIs88eH6Kf2h9p,"Positiva",11B,GBUM71507621
194,"Drive By","Train",84,122,"soft pop","Pop","California 37",2012-04-17,03:15,77,84,0,0,72,0,0,-3,C♯/D♭ minor,4,2022-04-25,0KAiuUOrLTIkzkpfpn9jb9,"Columbia",12A,USSM11106876
195,"Fake Love","Drake",72,134,"rap","Hip Hop","More Life",2017-03-18,03:30,93,48,11,0,61,20,10,-9,A minor,4,2022-06-16,343YBumqHu19cGoGARUTsd,"Cash Money Records/Young Money Ent./Universal Rec.",8A,USCM51700084
196,"All My Friends (feat. Tinashe & Chance the Rapper)","Snakehips,Tinashe,Chance the Rapper",72,95,"alternative r&b, ","Pop, R&B","All My Friends (feat. Tinashe & Chance the Rapper)",2015-10-21,03:49,68,52,12,0,18,10,10,-6,C,4,2022-06-21,6TaqooOXAEcijL6G1AWS2K,"Hoffman West/Columbia",8B,GBARL1501370
197,"Paradise","Bazzi",73,122,"","","Soul Searching",2019-08-09,02:49,84,64,8,0,59,0,10,-6,B minor,4,2022-08-23,0Rx0DJI556Ix5gBny6EWmn,"iamcosmic",10A,USAT21901897
198,"I Ain't Worried","OneRepublic",85,140,"soft pop","Pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,02:28,70,80,8,0,83,0,0,-6,C,4,2022-10-01,4h9wh7iOZ0GGn8QVp4RAOB,"Interscope Records",8B,USUM72206227
