#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Sweet Dreams (Are Made of This) - 2005 Remaster","Eurythmics,Annie Lennox,Dave Stewart",85,125,"new wave, synthpop, ","Pop, Rock, Electronic","Sweet Dreams (Are Made Of This)",1983-01-04,03:36,69,71,23,0,88,0,10,-7,C minor,4,2021-08-13,1TfqLAPs4K3s2rJMoCokcS,"RCA Records Label",5A,GBARL0300589
2,"Smalltown Boy","Bronski Beat",3,135,"synthpop, hi-nrg","Electronic, Pop","The Age Of Consent",1984-00-00,05:03,68,56,53,7,93,0,20,-11,A#/B♭,4,2021-08-13,0FrCX7P2C2hcRTcuhjEvK4,"Rhino/London-Sire",6B,GBAAP0200005
3,"I'm Still Standing","Elton John",6,177,"","","Rocket Man (Deluxe Edition)",2007-03-26,03:01,49,93,46,0,79,10,30,-6,A#/B♭ minor,4,2021-08-13,0lzpfrTARexLFXEACKSXTh,"Universal Music Group",3A,GBALX8300190
4,"Funky Town","Lipps Inc.",6,122,"disco","Pop","Paradas Continuas",2009-10-20,03:59,91,63,0,62,34,0,10,-8,C,4,2021-08-13,7723JnKU2R15Iv4T7OJrly,"CONSECUENCIAS DISCOGRAFICAS",8B,MX1900900138
5,"I'm So Excited","The Pointer Sisters",65,92,"disco","Pop","Best Of",1989-10-21,03:49,69,86,10,0,69,0,10,-6,G#/A♭,4,2021-08-13,2u8MGAiS2hBVE7GZzTZLQI,"Ariola",4B,USRC18203285
6,"Cheri Cheri Lady","Modern Talking",82,114,"italo disco, europop, eurodance","Electronic, Pop","Let's Talk About Love",1985-00-00,03:46,68,62,46,1,85,0,30,-14,A#/B♭,4,2021-08-13,2aEuA8PSqLa17Y4hKPj5rr,"Hansa Local",6B,DEC738500001
7,"Give It Up","KC & The Sunshine Band",58,126,"disco","Pop","The Very Best of KC & the Sunshine Band",1998-02-16,04:05,84,65,8,0,84,0,0,-12,D#/E♭,4,2021-08-13,40QPoAAKKMwPms6I6FHJqy,"Parlophone UK",5B,USSM19801505
8,"It's Raining Men - Single Version","The Weather Girls",50,136,"","","Dance Hits - 80s & 90s",2008-04-29,03:31,66,93,46,0,46,10,70,-6,F minor,4,2021-08-13,4caiYv89C9GZdDD1RzshWd,"SBCMG",4A,USSM18200686
9,"Take on Me","a-ha",89,84,"new wave, synthpop","Pop, Rock, Electronic","Hunting High and Low",1985-06-01,03:45,57,90,2,0,88,0,0,-8,F#/G♭ minor,4,2021-08-13,2WfaOiMkCvy7F5fcp2zZ8L,"Rhino",11A,USWB19901214
10,"9 to 5","Dolly Parton",80,105,"country","Country","9 To 5 And Odd Jobs",1980-00-00,02:42,55,78,42,0,81,0,60,-6,F#/G♭,4,2021-08-13,4w3tQBXhn5345eUXDGBWZG,"RCA Records Label",2B,USRN19400384
