#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
381,"Hell of a Year","Parker McCollum",72,98,"texas country, red dirt, country","Country","Probably Wrong",2017-11-10,03:52,66,48,41,0,19,0,10,-8,C minor,4,2024-05-28,2kvlpIO6c9yvKAzk2KF0IS,"Parker McCollum",5A,QMHXW1700003
382,"Georgia Girl","Megan Moroney",67,150,"country","Country","Lucky",2023-05-05,03:37,35,51,6,0,31,0,0,-7,A#/B♭,3,2024-05-28,7Hk5WvZzinaWXfJ1M6Knsf,"Columbia Nashville/Columbia Records",6B,USQX92301390
383,"Wildflowers and Wild Horses","Lainey Wilson",64,118,"country","Country","Bell Bottom Country",2022-11-28,04:10,43,63,40,0,28,0,20,-6,A#/B♭ minor,4,2024-06-13,6RWCvgNCEqXuVZYnDTPDEh,"Broken Bow Records",3A,QMRSZ2201718
384,"Pour Me A Drink (Feat. Blake Shelton)","Post Malone,Blake Shelton",71,119,"country","Country","Pour Me A Drink",2024-06-21,03:15,58,90,0,0,86,0,30,-4,B,4,2024-06-21,5ZLL6wYXeqg0k35ZkDRfhZ,"Mercury Records/Post Malone",1B,USUM72405604
385,"you look like you love me (feat. Riley Green)","Ella Langley,Riley Green",76,129,"country","Country","you look like you love me (feat. Riley Green)",2024-06-21,03:44,66,68,35,0,46,0,20,-6,B,4,2024-06-26,0y5Ex8oQ8zCH5TQxHUy1Eo,"SAWGOD/Columbia",1B,USSM12401853
386,"Austin (Boots Stop Workin')","Dasha",88,115,"","","What Happens Now?",2024-02-16,02:51,76,67,46,0,74,0,10,-7,C,4,2024-07-02,2uqYupMHANxnwgeiXTZXzd,"Warner Records",8B,QZTB92360479
387,"Young Love & Saturday Nights","Chris Young",65,126,"country, acoustic country","Country, Folk","Young Love & Saturday Nights",2024-03-22,03:16,53,85,2,0,49,0,30,-5,A,4,2024-07-02,0G3fI2EvhLAtBKZ66Tow9V,"RCA Records Label Nashville",11B,USRN12200232
388,"Lies Lies Lies","Morgan Wallen",84,81,"country","Country","Lies Lies Lies",2024-07-05,03:18,49,70,24,0,38,0,0,-6,C♯/D♭ minor,4,2024-07-05,7Fzl7QaTu47WyP9R5S5mh5,"Big Loud Records / Mercury Records / Republic Records",12A,USUG12404146
389,"Better Days (feat. John Mayer)","Zach Bryan,John Mayer",72,83,"country, red dirt, singer-songwriter","Country, Folk","The Great American Bar Scene",2024-07-04,03:32,56,56,71,0,31,0,0,-7,A,4,2024-07-05,1vj47xD8v9wIhQrmQY2Dkv,"Warner Records",11B,USWB12402700
390,"Pink Skies (feat. Watchhouse)","Zach Bryan,Watchhouse",63,86,"country, red dirt, bluegrass, americana, folk, newgrass","Country, Folk","The Great American Bar Scene",2024-07-04,03:49,49,41,31,0,26,0,10,-8,C,4,2024-07-05,6BTdD91y7j796RSXHvI70v,"Warner Records",8B,USWB12402705
