#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
111,"Lose You","Drake",65,90,"rap","Hip Hop","More Life",2017-03-18,05:05,53,58,70,0,38,30,30,-9,E,4,2019-05-17,2Na0z2gfN67Rzf0vp74Wi3,"Cash Money Records/Young Money Ent./Universal Rec.",12B,USCM51700071
112,"Peak","Drake",61,92,"rap","Hip Hop","Scorpion",2018-06-29,03:26,69,22,85,0,27,0,10,-14,A minor,4,2019-05-17,11L064movtyopGdLiX4sVg,"Cash Money/Drake LP6",8A,USCM51800220
113,"Jaded","Drake",73,116,"rap","Hip Hop","Scorpion",2018-06-29,04:22,76,27,4,0,4,0,10,-6,C,4,2019-05-17,4c2xt1trwYZpMqPWY35Xi9,"Cash Money/Drake LP6",8B,USCM51800227
114,"Keshia Had A Baby (feat. Rose Gold)","YG,Rose Gold",39,98,"neo soul","R&B","4REAL 4REAL",2019-05-24,03:57,85,49,2,0,23,10,0,-6,G#/A♭,4,2019-06-14,7Me3i3btcfoCNftr11iKtf,"Def Jam Recordings",4B,USUM71905776
115,"I Think I Love You","Phora",0,115,"","","With Love",2016-10-11,03:30,54,45,61,0,47,50,0,-12,F#/G♭,5,2019-06-17,39stgJx17gXBtxvPGlVJfl,"Phora LLC",2B,TCACR1698262
116,"For However Long","Bryson Tiller",59,100,"r&b","R&B","T R A P S O U L",2015-10-02,02:04,58,64,42,0,42,0,10,-7,F,4,2019-06-30,5g30WoqK1Dv5Bnwpusp2vk,"TrapSoul/RCA Records",7B,USRC11502187
117,"Birthday Sex","Jeremih",77,60,"","","Jeremih",2009-01-01,03:46,68,52,30,0,45,0,10,-6,G minor,4,2019-06-30,4NpDZPwSXmL0cCTaJuVrCw,"Bu Vision LLC / IDJ",6A,USUM70959630
118,"Needs","ELHAE",45,125,"","","All Have Fallen",2016-03-11,03:25,51,33,66,0,23,0,10,-13,B minor,4,2019-06-30,7KdRu0h7PQ0Ecfa37rUBzW,"Atlantic Records",10A,USAT21600712
119,"Selfish","PnB Rock",72,102,"melodic rap","Hip Hop","GTTM: Goin Thru the Motions",2017-01-13,04:05,64,60,11,0,4,0,10,-6,C♯/D♭ minor,4,2019-07-06,2xbI8Vmyv3TkpTdywpPyNw,"EMPIRE / Atlantic Recording Corporation",12A,USUYG1121848
120,"Issues (feat. Russ)","PnB Rock,Russ",45,84,"melodic rap, ","Hip Hop","Catch These Vibes",2017-11-17,03:52,66,64,20,0,21,0,10,-7,A,4,2019-07-06,1ysDVWxBj5Set0fA05TcyP,"Atlantic Records",11B,USAT21704677
