#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
423,"Problem","Ariana Grande,Iggy Azalea",80,103,"pop, ","Pop","My Everything (Deluxe)",2014-08-22,03:13,66,81,2,0,63,10,10,-5,C♯/D♭ minor,4,2019-12-28,7vS3Y0IKjde7Xg85LWIEdP,"Universal Records",12A,USUM71405403
424,"Adorn","Miguel",75,179,"r&b","R&B","Kaleidoscope Dream",2012-09-28,03:13,63,58,5,0,24,10,10,-6,B minor,4,2019-12-28,25cUhiAod71TIQSNicOaW3,"ByStorm Entertainment/RCA Records",10A,USRC11200647
425,"Unsteady","X Ambassadors",76,117,"","","VHS",2015-06-30,03:13,39,67,18,0,20,0,10,-6,C,4,2019-12-28,7lGKEWMXVWWTt3X71Bv44I,"Kid Ina Korner / Interscope",8B,USUM71400108
426,"Safe And Sound","Capital Cities",20,118,"","","In A Tidal Wave Of Mystery (Deluxe Edition)",2013-00-00,03:12,66,82,0,0,77,0,10,-5,C,5,2019-11-22,6Z8R6UsFuGXGtiIxiD8ISb,"Capital Cities",8B,USCA21203108
427,"My House","Flo Rida",79,94,"","","My House",2015-04-07,03:12,69,70,2,0,74,0,10,-5,G minor,4,2019-11-22,6Knv6wdA0luoMUuuoYi2i1,"Poe Boy/Atlantic",6A,USAT21500384
428,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta,AFROJACK,Bebe Rexha,Nicki Minaj",64,86,"edm, dance, big room, ","Electronic","Listen (Deluxe)",2014-11-10,03:12,60,73,24,0,53,10,30,-4,A,4,2019-12-28,5b2bu6yyATC1zMXDGScJ2d,"Atlantic/Parlophone",11B,GB28K1400058
429,"Needed Me","Rihanna",83,111,"","","ANTI (Deluxe)",2016-01-28,03:11,70,32,11,0,30,20,0,-8,F minor,4,2019-11-22,4pAl7FkDMNBsjykPXo91B3,"Roc Nation / Rihanna",4A,QM5FT1600118
430,"We Are Never Ever Getting Back Together","Taylor Swift",61,86,"","","Red",2012-10-22,03:11,63,68,1,0,75,0,10,-6,G,4,2019-12-28,7AEAGTc8cReDqcbPoY9gwo,"Big Machine Records, LLC",9B,USCJY1231018
431,"Royals","Lorde",81,85,"","","Pure Heroine",2013-09-27,03:10,67,43,12,0,34,10,10,-10,G,4,2019-11-22,2dLLR6qlu5UJ5gk0dKz0h3,"Universal Music New Zealand Limited",9B,NZUM71200031
432,"High Hopes","Panic! At The Disco",82,82,"emo","Rock","Pray for the Wicked",2018-06-22,03:10,58,90,19,0,68,0,0,-3,F,4,2019-11-22,1rqqCSm0Qe4I9rUvWncaom,"DCD2 / Fueled By Ramen",7B,USAT21801174
